Year,Month,Day,SIE,MeanX,MeanY,StdX,StdY,CorXY
2000,1,1,10943125,119.641555771318,182.597178593866,49.6908820323677,40.7495368442363,0.128515069139675
2000,1,2,10981250,119.446955036995,182.297666476949,49.8455583257818,41.0157744161635,0.131793339119934
2000,1,3,10970625,118.982851934142,182.290947416396,49.8059150201316,41.0874188628083,0.145708982100862
2000,1,4,10925000,118.67700228833,182.420995423341,49.8763427151432,41.1465211991178,0.150952744638976
2000,1,5,10963750,117.842720328355,182.00518754988,50.3940028933298,41.5427524475923,0.174184740504183
2000,1,6,10935000,118.009773662551,182.123513946045,50.2663114319058,41.5433580654931,0.166741667050331
2000,1,7,10951250,118.054617052848,181.987615568999,50.5382413776036,41.6493441001833,0.162344890734951
2000,1,8,10946875,117.686154724522,181.978761061947,50.7126128329414,41.6988346578785,0.176402649915307
2000,1,9,10946875,117.475934912932,181.993034541821,50.853131939591,41.6866258296819,0.186392156452697
2000,1,10,10958750,117.554978898141,182.048477244211,50.8338423809967,41.5289891579131,0.186779930526353
2000,1,11,10987500,118.252730375427,182.054607508532,50.6572682208888,41.3313517292556,0.165808767833915
2000,1,12,11031875,118.449436292561,181.809132627047,50.9455189621453,41.466226757026,0.161914287395178
2000,1,13,11065000,118.586251694532,181.606755535472,50.857629073953,41.5871491641455,0.157404135228191
2000,1,14,11083750,118.70096988835,181.47062140521,50.7742940985335,41.6987808833091,0.153914049628507
2000,1,15,11121875,118.65709468952,181.267771846024,50.7625347150767,41.7763745626853,0.15495312525332
2000,1,16,11165625,118.504561992723,181.001567310383,50.8558896855829,41.9243370791363,0.159117792939881
2000,1,17,11219375,118.612612110746,180.670881845023,51.0001021869066,42.1191079052579,0.154105011525366
2000,1,18,11329375,119.069675070337,180.044464059138,50.9960657321973,42.4204083479546,0.13745174355644
2000,1,19,11371250,119.483895789821,179.818291744531,50.9549597651694,42.5256702489884,0.123609530878297
2000,1,20,11388125,119.748531913726,179.681631085012,50.946399071536,42.6504125242316,0.11522712952935
2000,1,21,11378125,119.886459763801,179.762427904422,50.9559299886376,42.5753451075116,0.109854265346506
2000,1,22,11386875,120.006860969318,179.768648114606,50.7807542971896,42.5124590512845,0.108114711847813
2000,1,23,11419375,120.114279459252,179.512177768048,50.8540864505853,42.7358318508069,0.105473510827401
2000,1,24,11442500,120.109187240551,179.367544242954,50.9834400658864,42.8145812248251,0.105236215142584
2000,1,25,11413750,119.803033621728,179.522615266674,51.0097077135057,42.7465131076887,0.113772412354934
2000,1,26,11406250,119.326465753425,179.485205479452,51.0680850485185,42.8533379755031,0.128365988002917
2000,1,27,11384375,119.142904199835,179.515673895141,50.8953655928944,42.9357500415205,0.132547074013679
2000,1,28,11381875,119.128329031904,179.522815880512,50.7868508273517,42.9198499258121,0.13052943933057
2000,1,29,11394375,119.048872799078,179.488179474521,50.8322623868514,42.88803613354,0.134861762110786
2000,1,30,11399375,118.913317616097,179.421678820111,50.8842668851013,42.9823322467058,0.138481406353112
2000,1,31,11370000,118.616259894459,179.601583113456,50.8445440748264,42.8764025891741,0.148476609755862
2000,2,1,11341875,118.170276078691,179.70402821403,50.6907735044879,42.876293619628,0.161055717619421
2000,2,2,11354375,118.49507348489,179.653327461881,50.6975383813015,42.8631915219491,0.148120228123188
2000,2,3,11406875,118.689825215057,179.386499369898,50.6716183226099,42.9525630094827,0.141817829675226
2000,2,4,11514375,118.787222493622,178.82065895891,50.8232662459917,43.1888158325322,0.140645144601397
2000,2,5,11553750,119.041923617873,178.669209131234,51.0027664643497,43.1546425665026,0.132946838803918
2000,2,6,11558750,119.033254028334,178.697469449551,51.0673089321217,43.0928640930224,0.134367610632005
2000,2,7,11547500,118.826802338168,178.70929854947,51.1578726804393,43.14899246936,0.14133689383783
2000,2,8,11535000,118.723558734287,178.770426961422,51.2760488087792,43.1330704107651,0.144998670066984
2000,2,9,11517500,118.480410245279,178.84740612112,51.2534655411854,43.1243959801493,0.153870263159571
2000,2,10,11476875,118.380166639438,179.069051897838,51.1830336961129,43.0204542751725,0.155978058542297
2000,2,11,11412500,118.010733844469,179.377272727273,50.9504848953527,42.9187737168633,0.167247954247215
2000,2,12,11370000,117.341853562005,179.577121811785,50.9135523157156,42.8607803575652,0.187631444736418
2000,2,13,11376875,117.162665494699,179.40751524474,50.8988866528436,43.0841154845034,0.189600437976643
2000,2,14,11367500,117.066362436771,179.450186936442,51.0107153241661,43.0683806495558,0.193065194156873
2000,2,15,11381875,117.152435341277,179.428037999012,51.1378018802958,42.9950956077975,0.191097413051147
2000,2,16,11400625,117.529521407818,179.394660380462,51.2141645478364,42.9283502640867,0.18005697854666
2000,2,17,11405625,117.638774727382,179.372184777248,51.2124061989649,42.9381701426903,0.177339866180456
2000,2,18,11422500,117.877653753557,179.265539505362,51.1381163117088,43.0068532364306,0.168727063756528
2000,2,19,11453125,118.219590723056,179.050040927694,51.1906797701538,43.1674471310598,0.158031838719657
2000,2,20,11407500,118.526627218935,179.35218058295,51.1679714336419,42.9657717023691,0.150457276332065
2000,2,21,11455625,118.647498499645,179.132849582629,51.2752489340015,43.0129515412198,0.146253209534537
2000,2,22,11544375,118.715824806453,178.683341454171,51.3374294635768,43.194516722917,0.143794191770332
2000,2,23,11550625,118.786375196147,178.761051891131,51.470386879941,43.0322371304618,0.142595460158791
2000,2,24,11568125,118.695013236804,178.579772002809,51.5015453282617,43.2326965056159,0.145915720588164
2000,2,25,11533125,118.645965425676,178.753427626944,51.5223162872582,43.1897684532614,0.147417768304223
